City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint-Adolphe-d'Howard,45.9713,-74.3393,2.83,65,3,4.13,CA,1731796083
1,吉安市,27.1145,114.9836,18.08,95,0,2.84,CN,1731796084
2,新巴尔虎右旗,48.6705,116.8161,-10.65,59,5,7.05,CN,1731796085
3,دهستان طبس,36.4039,57.7089,6.5,51,85,0.87,IR,1731796090
4,Pau d'Arco do Piauí,-5.2544,-42.3871,32.14,24,47,2.44,BR,1731796092
5,Devgarh,25.5333,73.9,19.1,38,0,0.62,IN,1731796093
6,Badasso,5.6833,-4.5167,23.42,94,14,0.87,CI,1731796095
7,Brentwood,40.7812,-73.2462,14.46,37,0,5.14,US,1731795874
8,Kasangulu,-4.5911,15.1708,21.67,95,70,0.75,CD,1731796097
9,Belel,7.05,14.4333,16.41,35,99,1.93,CM,1731796098
10,Timokten,27.0215,1.0141,23.4,16,4,3.08,DZ,1731796099
11,马当镇,41.831,125.8744,-3.65,44,0,1.6,CN,1731796102
12,Aşkale,39.9208,40.695,2.44,92,100,1.37,TR,1731796104
13,Moiso,0.9144,127.5973,23.1,85,100,1.72,ID,1731796105
14,Darfield,53.5339,-1.376,8.16,83,100,4.56,GB,1731796106
15,Padievytis,55.585,22.259,6.53,87,100,7.75,LT,1731796109
16,Вакраково,59.9238,41.1961,5.07,90,100,6.66,RU,1731796113
17,Newman,37.3138,-121.0208,15.02,37,11,4.47,US,1731796115
18,文城乡,33.0559,113.7978,8.73,92,100,4.55,CN,1731796116
19,Ibinabam,5.5891,8.0261,23.05,76,42,1.43,NG,1731796119
20,Bengaluru,12.9762,77.6033,21.17,93,75,2.06,IN,1731796106
21,Serpa,37.9458,-7.5975,15.29,83,88,2.08,PT,1731796124
22,Daram,11.6341,124.7947,26.32,80,100,5.18,PH,1731796125
23,Arthurton,-34.2667,137.75,15.54,65,95,7.36,AU,1731796126
24,凤山县,22.0471,110.0025,22.83,88,37,0.81,CN,1731796127
25,Castro,-24.7911,-50.0119,18.67,90,22,2.92,BR,1731796129
26,Alenquer,-1.9417,-54.7383,28.65,56,92,1.16,BR,1731796131
27,Ribas do Rio Pardo,-20.4431,-53.7592,27.47,62,88,2.36,BR,1731796135
28,رقان,26.7158,0.1714,24.8,15,3,2.46,DZ,1731796142
29,渭南市,34.5036,109.5089,7.47,79,100,0.62,CN,1731796147
30,古田县,26.5811,118.7416,19.58,95,97,0.9,CN,1731796149
31,Hüfingen,47.9254,8.4883,0.8,91,90,1.62,DE,1731796150
32,昭通市,27.3167,103.7167,9.74,96,98,3.41,CN,1731796152
33,Óbidos,-1.9175,-55.5181,30.36,50,90,0.93,BR,1731796153
34,Booroorban,-34.9317,144.7511,25.76,57,99,14.03,AU,1731796157
35,Atalaia do Norte,-4.3722,-70.1919,26.78,83,100,1.73,BR,1731796158
36,بصرمون,35.2167,36.1333,12.79,88,6,1.34,SY,1731796164
37,Camapuã,-19.5314,-54.0439,24.28,84,82,2.64,BR,1731796165
38,محمد جاسم,33.1752,44.4779,17.99,38,9,3.13,IQ,1731796166
39,Santa Ana,33.7456,-117.8678,18.2,41,20,5.14,US,1731796167
40,Silvânia,-16.6589,-48.6081,19.04,97,100,2.5,BR,1731796168
41,Bahadurgarh,28.6833,76.9167,19.06,37,0,0.58,IN,1731796170
42,Primavera do Leste,-15.5614,-54.2994,21.82,92,99,2.87,BR,1731796171
43,Chontabamba,-10.6027,-75.4392,18.64,91,100,0.97,PE,1731796172
44,Badajoz,38.6667,-6.1667,15.27,72,99,2.47,ES,1731796173
45,Caracaraí,1.8161,-61.1281,27.6,75,100,0.31,BR,1731796174
46,Vicos,-9.3285,-77.5533,13.76,75,99,2.76,PE,1731796179
47,Ostrowite,53.0692,19.2934,5.46,71,79,6.8,PL,1731796180
48,O Campo da Feira,43.19,-8.4722,12.56,92,0,0.0,ES,1731796181
49,Santa Leonor,40.4325,-4.3874,9.57,83,27,1.82,ES,1731796185
50,Staunton,38.1496,-79.0717,10.66,70,0,2.57,US,1731796186
51,顺河回族区,34.8069,114.3772,10.56,70,100,2.12,CN,1731796187
52,Rapid City,44.0805,-103.231,6.78,50,100,10.29,US,1731796188
53,Juneau,58.3019,-134.4197,6.0,81,75,7.2,US,1731796190
54,El Triunfo,-1.9333,-79.9667,29.02,39,16,4.41,EC,1731796192
55,El Salvador,13.8333,-88.9167,24.02,98,100,0.72,SV,1731796136
56,Noapara,25.0092,89.7058,18.86,58,40,2.82,BD,1731796197
57,Oil Station,50.8528,85.8325,-10.39,92,23,0.53,RU,1731796198
58,Pompey,48.7665,6.1216,3.39,90,0,2.57,FR,1731796199
59,Saint-Ouen-Domprot,48.6094,4.4081,3.35,93,65,2.13,FR,1731796203
60,Canguçu,-31.395,-52.6756,20.72,82,30,4.37,BR,1731796205
61,Les,42.8108,0.7105,7.67,69,100,2.19,ES,1731796207
62,Rawlinna,-42.0322,147.8321,17.31,51,100,6.73,AU,1731796208
63,Pudur,13.0,79.15,21.9,91,100,1.34,IN,1731796210
64,美浜町,34.7821,136.8869,17.76,82,75,1.54,JP,1731796211
